程序导标记，不用翻译,,,,,,,
ID,name,desc,talk_pre,talk_accept,talk_doing,talk_finish,task_failed
1423,Unveiling Identity,Tell Prying Fellow's history and intention to Moon Dragon Presbyter.,"Now that you have get the whole story, I don't need hide anything before you.  Go reveal all mystery I've told you.  Now the emergency is to rescue those cadged kids.","Don't worry, Moon Dragon Presbyter won't raise difficulties to me if we can eliminate Malefic Hong and his wife.",Have you finished?,"Ah, that accounts for it!",
1424,Collect Lection Book,Kill Evil Apprentice and collect Lection Book to Prying Fellow. ,"Never look down upon me.  I am the one that found the location of Simen Mountain, so nobody is more familiar with it than me.  Malefic Hong cheated many folks in into following him when he escaped.  Please go to eliminate them to prevent more risks.  Don't forget to take their Lection Book back to me.","Lection Book was passed down by Master Hoyun, so I must keep them carefully.",Have you finished?,Great job!,
1425,Collect Prayer Bead,Kill Guly Horn Horse and collect Prayer Bead to Prying Fellow. ,"I was dishonest to Hun Yuan Master.  I was afraid of being killed, so I escaped alone without telling him that the Wizard Sword would stage an attack...  I hate those Guly Horn Horse!  Kill of them!!  Please take the Prayer Bead to me if you get one. ",I need those Prayer Bead to sacrifice Master Hoyun.,Have you finished?,Great job!,
1407,Hiding Mechanism,This iron gate can only be broken after you have removed the seals from ancient vessels.,"The way leading to the stone room where Malefic Hong and his wife stay in is obstructed by a massy iron gate, which cannot be open by us at all.  But there are five ancient vessels located at the right side of the cave.  They looks the same as the ordinary ones, but if you are unable to remove the seals from them, then that iron gate will be broken itself!",Take care!  Malefic Hong has deployed many guards there!,"Go for the quest now, you will be asked to do more important things!",Hah...  They will meet death this time!,
1408,Clean up Evildoers,Kill Hong's Wife!,"A battle report just came here telling us that one of the demons is now staying inside the Silver Fox Cave for recovery, and Malefic Hong is still missing.  It's estimated that he's out for collecting the special instruments.  So this is a good chance for a complete victory!  You know, cooperation can lead to triple production!  Hope you can be back soon.",She is very touch to beat!,"Go for the quest now, you will be asked to do more important things!",Temporary peace return to Moon Dragon Village finally!,
1471,Get Medicine,Get medicine for Apothecary.,"$username$, sorry for my unfriendly attitude towards you before.  Thank you for your understanding.  Now I need find one medicine ""Thyme"".  I think you may have it, would you mind giving it to me?","Great!  With ""Thyme"", I will make success!",You even don't have such kind of ordinary materials?,Now I will take them to patients.,
1488,Anxiety,Kill Dark Spirit and get Residues Page of Celestial Map.,"The three scrolls can be combined to create a Celestial Map, which can predicate all big events in the world.  But it's missing now probably due to those evil souls.  Please go to eliminate Dark Spirit to get the residual pages.",I am looking forward this mystic Celestial Map!,Found it?,Such a precious Celestial Map!,
660,Gather Materials,Get fur from Wild Wolf and give them to Zhang Si.,"The weather is turning cooler and cooler, so Zhang Si will ask me to prepare some wolf skin to resist the coldness.  Hehe, I will collect some and ask someone to send to him to avoid being scolded.  $username$, if you are going to visit Zhang Si, would you please collect some on your way and send to him?","It's getting late, hurry up.",What happened?,Millions of thanks!  Muscle-man Wei is so kind!,
661,Evildoing of Monk Mao Tai,Seize the Lection Book from Monk Mao Tai and Prentice of Monk Mao Tai.,"Monk Mao Tai was follower of Buddhism but his is not sincere.  This time he stolen the Lection Book during the attack and planned to burn it.  If nobody can prevent his behavior, there will be a disaster.","It's getting late, hurry up.",How's it going?,I am afraid that these Lection Books are the last treasure left by Black Wind Camp.,
662,Hunt For Escapee,Capture the escapee.,"Haha, I found your whereabouts finally!  You will meet death this time.  $username$, you are not supposed to miss the chance.","It's getting late, hurry up.",How's it going?,Thanks a lot!,
663,Exposure of Impostor,Seize the Stolen Frock.,"Though the Black Wind Camp was burned to ashes already, there are some villains have been doing evil things in frock to destroy Buddha's reputation!  $username$, seize those stolen frocks!",Be careful.,How's it going?,Finally we succeeded to stop them!,
664,Burn the Den,Burn the Monk Yu De's fort to ashes.,"Monk Yu De, the leader of Black Wind Camp, is doing evil things and occupying the Black Wind Camp.  I really want to put him down!  But I have no partner.  I will be very glad if someone burns the Black Wind Camp into ashes now.","My hero, I will be waiting for your good news.",How's it going?,Haha!  I am wondering Monk Yu De's reaction.,
665,Visit Zhu Wen,Go to Laurel Mountain and visit Zhu Wen.,"$username$, the situation is bad now.  Though many fighters are fighting for the justice now, but I really worry about the situation in Laurel Mountain.  Please pass this letter to Zhu Wen, thanks!","It's getting late, hurry up.",What happened?,It seems that Sun Nan is also in bad situation.,
714,Lucky Gift,Make conversation with Mammon and take your gift.,"$username$, it's lucky to be one member of Talisman Online now, haha!  Because everyone meets me here can get a gift!  You are a talented person, so you deserve a special gift, which can prevent you from danger!  Talk to me again after getting this quest to finish it and get my gift!",You are so lucky to meet me here!,"$username$, never give up!  You will make it!  Talk to me again to get your gift!!","Good!  Come on, the future of Talisman Online is in your hand!",
823,Beloved Rice Dumpling,Help Dragon Boat Envoy collect the materials for rice dumpling.,"Help me please, there is a gangster of Dragon Boat Thief  Gangster who steals my material during each Dragon Boat Festival.  $username$, would you please find the materials back?  I will give you rewards.",Thanks a lot!,Have you collected enough?,"Good job, $username$, I'd like to give you a rice dumpling as reward!  Happy Dragon Boat Festival!",
824,Advanced Beloved Rice Dumpling,"Give the four words ""Love"", ""Deep"", ""Feeling"" and ""Dumpling"" to Envoy and get Dragon Boat Wine.","Good!  You found them!  Well, $username$, please give me the words to me!  I will treat you to wine!",You really did a good job!,Have you finished?,"Good!  $username$, here you are!  It's your rewards!",
825,Rescue Qu Yuan,Rescue Qu Yuan from Floating Devil.,"Qu Yuan was captured by Floating Devil, $username$, can you help?  Remember to go to Darkness Valley with partners!  Floating Devil is very powerful!",Wish you good luck!,You failed to rescue him?,"Good!  $username$, thanks a lot!",
826,Beloved Rice Dumpling,Help Dragon Boat Envoy collect materials for rice dumpling.,"Help me please, there is a gangster of Dragon Boat Thief Gangster who steals my material during each Dragon Boat Festival.  $username$, would you please find the materials back?  I will give you rewards.",Thanks a lot!,Have you collected enough?,"Good!  Come on, the future of Talisman Online is in your hand!",
827,Advanced Beloved Rice Dumpling,"Give the four words ""Love"", ""Deep"", ""Feeling"" and ""Dumpling"" to Envoy and get Dragon Boat Wine.","Good!  You found them!  Well, $username$, please give me the words to me!  I will treat you to wine!",You really did a good job!,Have you finished?,"Good!  $username$, here you are!  It's your rewards!",
828,Rescue Qu Yuan,Rescue Qu Yuan from Floating Devil.,"Qu Yuan was captured by Floating Devil, $username$, can you help?  Remember to go to Darkness Valley with partners!  Floating Devil is very powerful!",Wish you good luck!,You failed to rescue him?,"Good!  $username$, thanks a lot!",
829,Face-lifting,Get Cosmetic Drug from Immortal Lee.,"If you are not satisfied with your hair or appearance, welcome go to visit Immortal Lee, who is said to have succeeded to make a special pill to alter appearance.  He is selling this pill in Stone City square, welcome to visit him.",It's up to you!,You came here all the way to visit me?,Hope you are happy with my Cosmetic Drug.,
830,Rewards of Energy,Go to visit Shopman with Family Token and get rewards.,"$username$, teamwork to survival!  Please invite some friends to join your adventure in Talisman Online!   You can exchange for a Energy Stone of 400000 energy with this !!!  Come on!!  It's a good bonus for you!!  Each one has just only one chance!","More friends to invite, more chances to get!","How many friends have you invited?  Friends do play big roles in Talisman Online!
1. Small client!
2. Big challenge and attractive quests!
3. Beautiful screen and easy operation!
4. LM configuration for a better experience!

Get your Family Token and exchange for the rewards of Energy Stone of 400000 energy!

You can never miss this chance!","$username$, thank you for your good performance!  You are so popular!  This is for you!",
831,Beloved Rice Dumpling,Help Dragon Boat Envoy collect materials for rice dumpling.,"Help me please, there is a gangster of Dragon Boat Thief Gangster who steals my material during each Dragon Boat Festival.  $username$, would you please find the materials back?  I will give you rewards.",Thanks a lot!,Have you collected enough?,"Good job, $username$, I'd like to give you a rice dumpling as reward!  Happy Dragon Boat Festival!",
832,Advanced Beloved Rice Dumpling,"Give the four words ""Love"", ""Deep"", ""Feeling"" and ""Dumpling"" to Envoy and get Dragon Boat Wine.","Good!  You found them!  Well, $username$, please give me the words to me!  I will treat you to wine!",You really did a good job!,Have you finished?,"Good!  $username$, here you are!  It's your rewards!",
833,Rescue Qu Yuan,Rescue Qu Yuan from Floating Devil.,"Qu Yuan was captured by Floating Devil, $username$, can you help?  Remember to go to Darkness Valley with partners!  Floating Devil is very powerful!",Wish you good luck!,You failed to rescue him?,"Good!  $username$, thanks a lot!",
834,Beloved Rice Dumpling,Help Dragon Boat Envoy collect materials for rice dumpling.,"Help me please, there is a gangster of Dragon Boat Thief Gangster who steals my material during each Dragon Boat Festival.  $username$, would you please find the materials back?  I will give you rewards.",Thanks a lot!,Have you collected enough?,"Good job, $username$, I'd like to give you a rice dumpling as reward!  Happy Dragon Boat Festival!",
835,Advanced Beloved Rice Dumpling,"Give the four words ""Love"", ""Deep"", ""Feeling"" and ""Dumpling"" to Envoy and get Dragon Boat Wine.","Good!  You found them!  Well, $username$, please give me the words to me!  I will treat you to wine!",You really did a good job!,Have you finished?,"Good!  $username$, here you are!  It's your rewards!",
